round,tas_pool_avg,control_pool_avg,tas_gini_avg,control_gini_avg
1,87.69,87.49,0.3381713950652032,0.4538316928513524
2,47.69,47.49,0.1518542130365836,0.18304456976975522
3,7.74,7.74,0.15102958386064533,0.16880209838102828
4,1.3,1.54,0.06427577080630438,0.11182042434750818
5,1.27,0.97,0.20811456356093574,0.38846153846153864
6,1.18,0.76,0.2227501625048561,0.40000000000000013
7,0.32,0.73,0.22457178089976818,0.40000000000000013
8,1.27,0.73,0.23831887113778286,0.40000000000000013
9,0.99,0.7,0.2438310018444443,0.40000000000000013
10,0.95,0.7,0.24291688311688314,0.40000000000000013
11,0.948051948051948,0.7321428571428571,0.24256420271457865,0.4000000000000001
12,0.9864864864864865,0.7321428571428571,0.2428571428571429,0.4000000000000001
13,1.0,1.0,0.24285714285714288,0.40000000000000013
14,0,0,0,0
15,0,0,0,0
16,0,0,0,0
17,0,0,0,0
18,0,0,0,0
19,0,0,0,0
20,0,0,0,0
21,0,0,0,0
22,0,0,0,0
23,0,0,0,0
24,0,0,0,0
25,0,0,0,0
26,0,0,0,0
27,0,0,0,0
28,0,0,0,0
29,0,0,0,0
30,0,0,0,0
31,0,0,0,0
32,0,0,0,0
33,0,0,0,0
34,0,0,0,0
35,0,0,0,0
36,0,0,0,0
37,0,0,0,0
38,0,0,0,0
39,0,0,0,0
40,0,0,0,0
41,0,0,0,0
42,0,0,0,0
43,0,0,0,0
44,0,0,0,0
45,0,0,0,0
46,0,0,0,0
47,0,0,0,0
48,0,0,0,0
49,0,0,0,0
50,0,0,0,0
